,FIS code,Athlete,Year,Nation,Podiums,Wins,Top 10
167,3670115,PUKHKALO Vitaliy,1992.0,KAZ,0.0,0.0,2.0
168,3290407,SALVADORI Giandomenico,1992.0,ITA,0.0,0.0,1.0
169,3190302,PARISSE Clement,1993.0,FRA,0.0,0.0,2.0
170,3390240,HIMMA Martin,1999.0,EST,0.0,0.0,0.0
171,3220002,MUSGRAVE Andrew,1990.0,GBR,0.0,0.0,0.0
172,3510479,RUEESCH Jason,1994.0,SUI,1.0,0.0,1.0
173,3510534,KLEE Beda,1996.0,SUI,1.0,0.0,1.0
174,3670022,VELICHKO Yevgeniy,1987.0,KAZ,0.0,0.0,2.0
175,3200331,WICK Thomas,1991.0,GER,0.0,0.0,0.0
176,3660065,SEMENOV Michail,1986.0,BLR,0.0,0.0,0.0
177,3510342,BAUMANN Jonas,1990.0,SUI,0.0,0.0,0.0
178,3250038,EINARSSON Snorri Eythor,1986.0,ISL,0.0,0.0,0.0
179,3200205,BOEGL Lucas,1990.0,GER,0.0,0.0,4.0
180,3300494,BABA Naoto,1996.0,JPN,0.0,0.0,0.0
181,3430249,BURY Dominik,1996.0,POL,0.0,0.0,0.0
182,3300190,YOSHIDA Keishin,1987.0,JPN,0.0,0.0,0.0
183,3120063,SHANG Jincai,1993.0,CHN,0.0,0.0,0.0
184,3690111,KOSTRUBA Yan,1999.0,UKR,0.0,0.0,0.0
185,3530496,NORRIS David,1990.0,USA,0.0,0.0,1.0
186,3530532,PATTERSON Scott,1992.0,USA,0.0,0.0,1.0
187,3200072,KATZ Andreas,1988.0,GER,0.0,0.0,0.0
188,3200356,DOBLER Jonas,1991.0,GER,0.0,0.0,2.0
189,3740072,MIKAYELYAN Mikayel,1999.0,ARM,0.0,0.0,0.0
190,3550114,BIKSE Indulis,1995.0,LAT,0.0,0.0,0.0
191,3530679,BRATRUD Kyle,1993.0,USA,0.0,0.0,0.0
192,3740023,POGHOSYAN Tadevos,1993.0,ARM,0.0,0.0,0.0
193,3320139,LEE Geon-yong,1993.0,KOR,0.0,0.0,0.0
194,3700081,KORISTEK Jan,1996.0,SVK,0.0,0.0,0.0
195,3320106,JEONG Jongwon,1992.0,KOR,0.0,0.0,0.0
196,3120099,ZHU Mingliang,1998.0,CHN,0.0,0.0,0.0
197,3181001,IKONEN Joel,1994.0,FIN,0.0,0.0,0.0
198,3427109,FOSSESHOLM Helene Marie,2001.0,NOR,0.0,0.0,2.0
199,3425355,SLIND Silje Oeyre,1988.0,NOR,0.0,0.0,0.0
200,3426200,WENG Lotta Udnes,1996.0,NOR,0.0,0.0,2.0
201,3195219,CLAUDEL Delphine,1996.0,FRA,0.0,0.0,1.0
202,3426431,SIMPSON-LARSEN Karoline,1997.0,NOR,0.0,0.0,0.0
