,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
5496,26,33,3190345,JOUVE Richard,1994,FRA,1:58.54,+8.90,97.41,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5497,27,4,3190302,PARISSE Clement,1993,FRA,1:58.59,+8.95,97.96,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5498,28,49,3430103,STAREGA Maciej,1990,POL,1:58.73,+9.09,99.49,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5499,29,45,3500972,BERGSTROEM Martin,1992,SWE,1:58.75,+9.11,99.71,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5500,30,16,3150570,NOVAK Michal,1996,CZE,1:58.85,+9.21,100.80,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5501,31,35,3501010,HAEGGSTROEM Johan,1992,SWE,1:59.21,+9.57,104.74,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5502,32,8,3420586,HOLUND Hans Christer,1989,NOR,1:59.24,+9.60,105.07,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5503,33,34,3481163,RETIVYKH Gleb,1991,RUS,1:59.57,+9.93,108.68,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5504,34,55,3510479,RUEESCH Jason,1994,SUI,2:00.50,+10.86,118.86,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5505,35,67,3290407,SALVADORI Giandomenico,1992,ITA,2:00.54,+10.90,119.30,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5506,36,21,3510023,COLOGNA Dario,1986,SUI,2:00.68,+11.04,120.83,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5507,37,53,3190358,TIBERGHIEN Jean,1995,FRA,2:00.85,+11.21,122.69,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5508,38,6,3482105,YAKIMUSHKIN Ivan,1996,RUS,2:00.95,+11.31,123.79,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5509,39,1,3501223,BURMAN Jens,1994,SWE,2:01.11,+11.47,125.54,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5510,40,71,3181007,VUORELA Markus,1996,FIN,2:01.14,+11.50,125.87,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5511,41,25,3220016,YOUNG Andrew,1992,GBR,2:01.33,+11.69,127.95,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5512,42,10,3180535,NISKANEN Iivo,1992,FIN,2:01.48,+11.84,129.59,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5513,43,59,3190111,MANIFICAT Maurice,1986,FRA,2:01.58,+11.94,130.68,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5514,44,40,3500330,PETERSON Teodor,1988,SWE,2:01.59,+11.95,130.79,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5515,45,41,3530583,HANNEMAN Logan,1993,USA,2:01.99,+12.35,135.17,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5516,46,57,3670078,KLIMIN Olzhas,1996,KAZ,2:02.29,+12.65,138.45,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5517,47,60,3120109,ENTEMAKE Maowulietibieke,1996,CHN,2:02.38,+12.74,139.44,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5518,48,62,3510534,KLEE Beda,1996,SUI,2:02.39,+12.75,139.55,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5519,49,69,3180301,LEHTONEN Lari,1987,FIN,2:02.68,+13.04,142.72,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5520,50,23,3421154,NYENGET Martin Loewstroem,1992,NOR,2:02.93,+13.29,145.46,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5521,51,56,3050159,TRITSCHER Bernhard,1988,AUT,2:02.95,+13.31,145.68,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5522,52,14,1345875,GAILLARD Jean Marc,1980,FRA,2:03.22,+13.58,148.63,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5523,53,73,3250038,EINARSSON Snorri Eythor,1986,ISL,2:03.31,+13.67,149.62,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5524,54,86,3300494,BABA Naoto,1996,JPN,2:03.56,+13.92,152.35,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5525,55,50,3560121,LAMPIC Janez,1996,SLO,2:03.72,+14.08,154.10,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5526,56,48,3500991,WESTBERG Karl-Johan,1992,SWE,2:04.16,+14.52,158.92,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5527,57,9,3481161,BELOV Evgeniy,1990,RUS,2:04.48,+14.84,162.42,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5528,58,63,3501356,DANIELSSON Filip,1996,SWE,2:04.53,+14.89,162.97,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5529,59,54,3430233,BURY Kamil,1995,POL,2:04.88,+15.24,166.80,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5530,60,43,3530713,BOLGER Kevin,1993,USA,2:04.91,+15.27,167.13,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5531,61,17,3510351,FURGER Roman,1990,SUI,2:05.19,+15.55,170.19,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5532,62,7,3670115,PUKHKALO Vitaliy,1992,KAZ,2:05.56,+15.92,174.24,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5533,63,85,3300190,YOSHIDA Keishin,1987,JPN,2:05.75,+16.11,176.32,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5534,64,76,3670022,VELICHKO Yevgeniy,1987,KAZ,2:06.27,+16.63,182.01,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5535,65,75,3530496,NORRIS David,1990,USA,2:06.57,+16.93,185.30,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5536,66,70,3501176,RUUS Marcus,1994,SWE,2:06.64,+17.00,186.06,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5537,67,66,3290600,DAPRA Simone,1997,ITA,2:06.74,+17.10,187.16,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5538,68,64,3220002,MUSGRAVE Andrew,1990,GBR,2:07.07,+17.43,190.77,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5539,69,18,3500015,RICHARDSSON Daniel,1982,SWE,2:07.59,+17.95,196.46,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5540,70,65,3390167,ALEV Alvar Johannes,1993,EST,2:07.97,+18.33,200.62,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5541,71,58,3430249,BURY Dominik,1996,POL,2:08.19,+18.55,203.03,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5542,72,81,3490145,ROJO Imanol,1990,ESP,2:08.56,+18.92,207.08,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5543,73,52,3100268,KENNEDY Russell,1991,CAN,2:09.79,+20.15,220.54,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5544,74,72,3510342,BAUMANN Jonas,1990,SUI,2:10.80,+21.16,231.59,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5545,75,68,3100283,PALMER-CHARRETTE Evan,1994,CAN,2:10.96,+21.32,233.35,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5546,76,78,3100321,DUMAS Alexis,1995,CAN,2:11.62,+21.98,240.57,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5547,77,74,3270010,MALONEY WESTGAARD Thomas,1995,IRL,2:11.86,+22.22,243.20,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5548,78,80,3100287,IZQUIERDO-BERNIER Ricardo,1995,CAN,2:12.01,+22.37,244.84,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5549,79,84,3020003,ESTEVE ALTIMIRAS Ireneu,1996,AND,2:12.04,+22.40,245.17,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5550,80,79,3670098,BASHMAKOV Nail,1995,KAZ,2:12.07,+22.43,245.49,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5551,81,61,3530772,LUSTGARTEN Benjamin,1992,USA,2:13.60,+23.96,262.24,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5552,82,82,3290504,VENTURA Paolo,1996,ITA,2:13.91,+24.27,265.63,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5553,83,77,3120063,SHANG Jincai,1993,CHN,2:21.82,+32.18,352.21,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5554,84,83,3120133,BAO Lin,1999,CHN,2:38.45,+48.81,534.22,Men's SP  F Qual,Are (SWE),"Feb 18, 2020",Sprint Qualification,2020
5555,1,1,3425301,JOHAUG Therese,1988,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5556,2,2,3425499,WENG Heidi,1991,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5557,3,6,3425183,JACOBSEN Astrid Uhrenholdt,1987,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5558,4,10,3505809,SUNDLING Jonna,1994,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5559,5,22,3515221,FAEHNDRICH Nadine,1995,SUI,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5560,6,4,3506166,SVAHN Linn,1999,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5561,7,3,3295193,LAURENT Greta,1992,ITA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5562,8,5,3185114,MONONEN Laura,1984,FIN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5563,9,7,3425365,FALLA Maiken Caspersen,1990,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5564,10,9,3425421,HAGA Ragnhild,1991,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5565,11,17,3535410,DIGGINS Jessica,1991,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5566,12,23,3535304,CALDWELL Sophie,1990,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5567,13,13,3185256,PARMAKOSKI Krista,1990,FIN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5568,14,19,3426201,WENG Tiril Udnes,1996,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5569,15,24,3426200,WENG Lotta Udnes,1996,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5570,16,8,3425410,OESTBERG Ingvild Flugstad,1990,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5571,17,15,3505990,ANDERSSON Ebba,1997,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5572,18,16,3565062,LAMPIC Anamarija,1995,SLO,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5573,19,20,3426163,MYHRE Julie,1996,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5574,20,21,3535320,MAUBET BJORNSEN Sadie,1989,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5575,21,11,3155324,JANATOVA Katerina,1997,CZE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5576,22,14,3535316,BRENNAN Rosie,1988,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5577,23,25,3195219,CLAUDEL Delphine,1996,FRA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5578,24,26,3185137,KYLLOENEN Anne,1987,FIN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5579,25,28,3055067,STADLOBER Teresa,1993,AUT,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5580,26,12,3295144,DEBERTOLIS Ilaria,1989,ITA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5581,27,18,3535562,KERN Julia,1997,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5582,28,27,3505217,KALLA Charlotte,1987,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5583,29,29,3125082,CHI Chunxue,1998,CHN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5584,30,30,3125106,JIALIN Bayani,1999,CHN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5585,31,43,3295000,BROCARD Elisa,1984,ITA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5586,32,54,3125046,LI Xin,1992,CHN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5587,33,33,3515087,VAN DER GRAAFF Laurien,1987,SUI,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5588,34,14,3105214,STEWART-JONES Katherine,1995,CAN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5589,35,42,3505675,SETTLIN Evelina,1992,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5590,36,46,3055108,UNTERWEGER Lisa,1995,AUT,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5591,37,39,3425381,SVENDSEN Anna,1990,NOR,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5592,38,58,3675035,SHEVCHENKO Anna,1993,KAZ,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5593,39,19,3506008,RIBOM Emma,1997,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5594,40,26,1274580,ISHIDA Masako,1980,JPN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5595,41,12,3505449,SOEMSKAR Linn,1989,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5596,42,50,3535659,SONNESYN Alayna,1996,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5597,43,1,3535602,SWIRBUL Hailey,1998,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5598,44,7,3505828,DYVIK Anna,1994,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5599,45,56,3105190,BROWNE Cendrine,1993,CAN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5600,46,55,3535385,PATTERSON Caitlin,1990,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5601,47,53,3195205,BENTZ Coralie,1996,FRA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5602,48,51,3505858,MOLANDER KRISTIANSEN Moa,1995,SWE,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5603,49,57,3105095,NISHIKAWA Emily,1989,CAN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5604,50,2,3486314,KIRPICHENKO Yana,1996,RUS,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5605,51,11,3185168,NISKANEN Kerttu,1988,FIN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5606,52,3,3485849,NECHAEVSKAYA Anna,1991,RUS,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5607,53,64,3485042,IKSANOVA Alija,1984,RUS,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5608,54,59,3675049,BYKOVA Irina,1993,KAZ,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5609,55,36,3295157,SCARDONI Lucia,1991,ITA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5610,56,61,3535448,FRANKOWSKI Rosie,1991,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5611,57,34,3565005,VISNAR Katja,1984,SLO,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5612,58,60,3486232,GOLOVAN Diana,1994,RUS,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5613,59,52,3535601,OGDEN Katharine,1997,USA,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5614,60,62,3675041,SHURYGA Angelina,1996,KAZ,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5615,61,47,3125103,YILAMUJIANG Dinigeer,2001,CHN,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5616,62,49,3485862,ZHAMBALOVA Alisa,1994,RUS,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5617,63,65,3675036,MANDRIKA Olga,1993,KAZ,,,,Women's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5618,1,1,3422819,KLAEBO Johannes Hoesflot,1996,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5619,2,4,3290326,PELLEGRINO Federico,1990,ITA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5620,3,5,3190282,JAY Renaud,1991,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5621,4,2,3420909,GOLBERG Paal,1990,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5622,5,24,3190323,CHANAVAT Lucas,1994,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5623,6,3,3422619,VALNES Erik,1996,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5624,7,25,3560101,SIMENC Miha,1995,SLO,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5625,8,23,3482277,BOLSHUNOV Alexander,1996,RUS,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5626,9,8,3220033,CLUGNET James,1996,GBR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5627,10,9,3482280,SPITSOV Denis,1996,RUS,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5628,11,22,3190353,CHAUVIN Valentin,1995,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5629,12,11,3421779,KRUEGER Simen Hegstad,1993,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5630,13,10,3420605,ROETHE Sjur,1988,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5631,14,17,3530120,HAMILTON Simeon,1987,USA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5632,15,27,3190302,PARISSE Clement,1993,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5633,16,7,3420961,KROGH Finn Haagen,1990,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5634,17,14,3420228,SUNDBY Martin Johnsrud,1984,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5635,18,15,3300373,MIYAZAWA Hiroyuki,1991,JPN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5636,19,28,3430103,STAREGA Maciej,1990,POL,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5637,20,29,3500972,BERGSTROEM Martin,1992,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5638,21,6,3481803,MELNICHENKO Andrey,1992,RUS,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5639,22,12,3481432,MALTSEV Artem,1993,RUS,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5640,23,19,3501346,THORN Viktor,1996,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5641,24,26,3190345,JOUVE Richard,1994,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5642,25,30,3150570,NOVAK Michal,1996,CZE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5643,26,13,3421320,IVERSEN Emil,1991,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5644,27,16,3190268,BACKSCHEIDER Adrien,1992,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5645,28,18,3180865,VUORINEN Lauri,1995,FIN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5646,29,20,3481132,LARKOV Andrey,1989,RUS,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5647,30,21,3290379,DE FABIANI Francesco,1993,ITA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5648,31,35,3501010,HAEGGSTROEM Johan,1992,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5649,32,8,3420586,HOLUND Hans Christer,1989,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5650,33,34,3481163,RETIVYKH Gleb,1991,RUS,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5651,34,55,3510479,RUEESCH Jason,1994,SUI,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5652,35,67,3290407,SALVADORI Giandomenico,1992,ITA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5653,36,21,3510023,COLOGNA Dario,1986,SUI,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5654,37,53,3190358,TIBERGHIEN Jean,1995,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5655,38,6,3482105,YAKIMUSHKIN Ivan,1996,RUS,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5656,39,1,3501223,BURMAN Jens,1994,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5657,40,71,3181007,VUORELA Markus,1996,FIN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5658,41,25,3220016,YOUNG Andrew,1992,GBR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5659,42,10,3180535,NISKANEN Iivo,1992,FIN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5660,43,59,3190111,MANIFICAT Maurice,1986,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5661,44,40,3500330,PETERSON Teodor,1988,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5662,45,41,3530583,HANNEMAN Logan,1993,USA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5663,46,57,3670078,KLIMIN Olzhas,1996,KAZ,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5664,47,60,3120109,ENTEMAKE Maowulietibieke,1996,CHN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5665,48,62,3510534,KLEE Beda,1996,SUI,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5666,49,69,3180301,LEHTONEN Lari,1987,FIN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5667,50,23,3421154,NYENGET Martin Loewstroem,1992,NOR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5668,51,56,3050159,TRITSCHER Bernhard,1988,AUT,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5669,52,14,1345875,GAILLARD Jean Marc,1980,FRA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5670,53,73,3250038,EINARSSON Snorri Eythor,1986,ISL,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5671,54,86,3300494,BABA Naoto,1996,JPN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5672,55,50,3560121,LAMPIC Janez,1996,SLO,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5673,56,48,3500991,WESTBERG Karl-Johan,1992,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5674,57,9,3481161,BELOV Evgeniy,1990,RUS,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5675,58,63,3501356,DANIELSSON Filip,1996,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5676,59,54,3430233,BURY Kamil,1995,POL,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5677,60,43,3530713,BOLGER Kevin,1993,USA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5678,61,17,3510351,FURGER Roman,1990,SUI,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
