,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
119,28,52,3560121,LAMPIC Janez,1996,SLO,2:46.20,+8.78,66.93,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
120,29,30,3481432,MALTSEV Artem,1993,RUS,2:46.29,+8.87,67.62,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
121,30,28,3501255,SVENSSON Oskar,1995,SWE,2:46.33,+8.91,67.92,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
122,31,60,3670075,BORTSOV Konstantin,1995,KAZ,2:46.35,+8.93,68.07,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
123,32,35,3530713,BOLGER Kevin,1993,USA,2:46.74,+9.32,71.05,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
124,33,13,3481132,LARKOV Andrey,1989,RUS,2:46.91,+9.49,72.34,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
125,34,19,3190111,MANIFICAT Maurice,1986,FRA,2:46.98,+9.56,72.88,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
126,35,51,3181098,SUHONEN Verneri,1997,FIN,2:47.00,+9.58,73.03,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
127,36,95,3181015,HAKALA Karri,1996,FIN,2:47.21,+9.79,74.63,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
128,37,36,3150570,NOVAK Michal,1996,CZE,2:47.50,+10.08,76.84,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
129,38,74,3120031,SUN Qinghai,1988,CHN,2:47.74,+10.32,78.67,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
130,39,6,3420994,TOENSETH Didrik,1991,NOR,2:47.78,+10.36,78.97,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
131,40,55,3482105,YAKIMUSHKIN Ivan,1996,RUS,2:48.00,+10.58,80.65,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
132,41,48,3150549,SELLER Ludek,1995,CZE,2:48.22,+10.80,82.33,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
133,42,106,3180557,HYVARINEN Perttu,1991,FIN,2:48.37,+10.95,83.47,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
134,43,42,3660055,VORANAU Aliaksandr,1990,BLR,2:48.46,+11.04,84.16,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
135,44,40,3290446,ZELGER Stefan,1995,ITA,2:48.56,+11.14,84.92,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
136,45,53,3501252,JONSSON Olof,1995,SWE,2:48.74,+11.32,86.29,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
137,46,17,3420228,SUNDBY Martin Johnsrud,1984,NOR,2:48.97,+11.55,88.04,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
138,47,49,3530511,BJORNSEN Erik,1991,USA,2:49.21,+11.79,89.87,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
139,48,43,3300373,MIYAZAWA Hiroyuki,1991,JPN,2:49.48,+12.06,91.93,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
140,49,16,3481803,MELNICHENKO Andrey,1992,RUS,2:49.60,+12.18,92.85,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
141,50,24,3530120,HAMILTON Simeon,1987,USA,2:49.64,+12.22,93.15,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
142,51,58,3200676,BRUGGER Janosch,1997,GER,2:49.68,+12.26,93.46,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
143,52,84,3180301,LEHTONEN Lari,1987,FIN,2:49.85,+12.43,94.75,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
144,53,29,3560101,SIMENC Miha,1995,SLO,2:50.19,+12.77,97.34,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
145,54,61,3430233,BURY Kamil,1995,POL,2:50.22,+12.80,97.57,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
146,55,66,3510366,SCHNIDER Ueli,1990,SUI,2:50.23,+12.81,97.65,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
147,56,38,3430103,STAREGA Maciej,1990,POL,2:50.25,+12.83,97.80,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
148,57,76,3181007,VUORELA Markus,1996,FIN,2:50.47,+13.05,99.48,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
149,58,4,3510023,COLOGNA Dario,1986,SUI,2:50.62,+13.20,100.62,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
150,59,2,3421779,KRUEGER Simen Hegstad,1993,NOR,2:50.78,+13.36,101.84,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
151,60,92,3181239,AHONEN Olli,1999,FIN,2:50.79,+13.37,101.92,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
152,61,65,3670077,DYUSSENOV Asset,1997,KAZ,2:51.06,+13.64,103.98,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
